Birth Rate,Business Tax Rate,CO2 Emissions,Above Threshold?,GDP per Capita,Birth Rate Bin,Life Expectancy,Ease of Business (clusters),Country/Region,Days to Start Business,Ease of Business,Energy Usage,GDP per Capita (bin),GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Region,Tourism Inbound,Tourism Outbound,Year
4.4%,,884,Below Threshold,$223,Above 3%,47,Low,Malawi,,,,$0,$3B,4.8%,$11,,0.09,0%,0.505,47,47,1%,1,0.461,0.509,0.03,11.9M,14.8%,Africa,$0B,$0B,12/1/2002
4.8%,,554,Below Threshold,$307,Above 3%,50,Low,Mali,,,,$0,$3B,6.3%,$19,,0.109,0%,,50,50,0%,1,0.461,0.506,0.033,10.9M,29.8%,Africa,$0B,$0B,12/1/2002
3.8%,,1434,Below Threshold,$460,Above 3%,60,Low,Mauritania,,,,$0,$1B,6.0%,$24,,0.076,0%,0.21,61,58,9%,1,0.423,0.545,0.032,2.9M,50.8%,Africa,,,12/1/2002
1.7%,,2981,Below Threshold,"$3,939",1.5-3%,73,Very Friendly,Mauritius,,,,$0,$5B,4.2%,$168,,0.014,10%,0.21,76,69,29%,1,0.252,0.685,0.064,1.2M,42.3%,Africa,$1B,$0B,12/1/2002
2.1%,,38254,Below Threshold,"$1,379",1.5-3%,69,Friendly,Morocco,,,11079,$0,$40B,5.3%,$73,,0.04,2%,0.131,70,67,21%,1,0.327,0.625,0.048,29.3M,54.0%,Africa,$3B,$1B,12/1/2002
4.5%,,1588,Below Threshold,$217,Above 3%,48,Moderate,Mozambique,,,7645,$0,$4B,6.4%,$14,,0.104,0%,0.267,49,46,1%,1,0.441,0.527,0.032,19.3M,29.5%,Africa,$0B,$0B,12/1/2002
3.1%,,1760,Below Threshold,"$1,716",Above 3%,54,Friendly,Namibia,,,1010,$0,$3B,6.2%,$106,,0.049,3%,0.138,56,52,8%,1,0.402,0.565,0.033,2.0M,33.8%,Africa,$0B,$0B,12/1/2002
5.2%,,814,Below Threshold,$184,Above 3%,52,Low,Niger,,,,$0,$2B,7.0%,$12,,0.094,0%,,52,52,1%,1,0.483,0.491,0.025,11.8M,16.4%,Africa,$0B,$0B,12/1/2002
4.3%,,98125,Below Threshold,$457,Above 3%,48,Moderate,Nigeria,,,97389,$0,$59B,3.9%,$18,,0.106,0%,0.248,48,47,1%,1,0.434,0.538,0.028,129.2M,36.5%,Africa,$0B,$1B,12/1/2002
4.0%,,689,Below Threshold,$187,Above 3%,51,Friendly,Rwanda,,,,$0,$2B,4.2%,$8,,0.092,0%,0.164,51,50,1%,1,0.459,0.513,0.029,9.0M,16.8%,Africa,$0B,$0B,12/1/2002
3.7%,,59,Below Threshold,$586,Above 3%,64,Low,Sao Tome and Principe,,,,$0,$0B,10.6%,$59,,0.054,8%,0.374,66,62,1%,1,0.429,0.53,0.04,0.1M,55.3%,Africa,$0B,$0B,12/1/2002
4.0%,,4547,Below Threshold,$513,Above 3%,59,Low,Senegal,,,2632,$0,$5B,5.1%,$26,,0.065,1%,,60,57,5%,1,0.447,0.521,0.032,10.4M,40.6%,Africa,$0B,$0B,12/1/2002
1.8%,,543,Below Threshold,"$8,340",1.5-3%,73,Friendly,Seychelles,,,,"$4,688",$1B,4.4%,$371,,0.012,14%,0.106,77,69,54%,1,0.267,0.654,0.079,0.1M,50.5%,Africa,$0B,$0B,12/1/2002
4.3%,,609,Above Threshold,$276,Above 3%,40,Moderate,Sierra Leone,,,,$0,$1B,16.0%,$44,,0.136,0%,0.222,40,39,2%,1,0.428,0.548,0.024,4.5M,36.1%,Africa,$0B,$0B,12/1/2002
4.8%,,572,Below Threshold,,Above 3%,52,Not Clustered,Somalia,,,,,,,,,0.105,0%,,53,50,1%,1,0.475,0.496,0.029,7.8M,34.0%,Africa,,,12/1/2002
2.4%,,347687,Below Threshold,"$2,423",1.5-3%,54,Very Friendly,South Africa,,,109908,$0,$111B,8.5%,$205,,0.053,7%,0.158,55,52,30%,1,0.32,0.643,0.037,45.8M,57.9%,Africa,$4B,$2B,12/1/2002
4.1%,,,Below Threshold,,Above 3%,50,Low,South Sudan,,,,,,,,,0.1,,,51,49,,1,0.445,0.524,0.031,7.2M,16.8%,Africa,,,12/1/2002
3.9%,,8119,Below Threshold,$507,Above 3%,59,Moderate,Sudan,,,15205,$0,$15B,3.6%,$18,,0.066,0%,,61,57,1%,1,0.435,0.535,0.03,29.2M,32.6%,Africa,$0B,$0B,12/1/2002
3.2%,,1126,Below Threshold,"$1,131",Above 3%,47,Moderate,Swaziland,,,,$0,$1B,5.2%,$58,,0.082,2%,0.153,47,46,6%,1,0.435,0.535,0.03,1.1M,22.4%,Africa,$0B,$0B,12/1/2002
4.2%,,3590,Below Threshold,$302,Above 3%,52,Moderate,Tanzania,,,14916,$0,$11B,3.4%,$10,,0.071,0%,0.164,52,51,2%,1,0.447,0.524,0.029,35.8M,23.0%,Africa,$1B,$0B,12/1/2002
3.9%,,1232,Below Threshold,$288,Above 3%,54,Low,Togo,,,2182,$0,$1B,5.0%,$14,,0.073,1%,,55,53,3%,1,0.436,0.536,0.028,5.1M,33.8%,Africa,$0B,$0B,12/1/2002
1.7%,,21016,Below Threshold,"$2,366",1.5-3%,73,Very Friendly,Tunisia,,,7814,$0,$23B,5.3%,$128,,0.023,5%,,75,71,6%,1,0.281,0.656,0.064,9.8M,64.2%,Africa,$2B,$0B,12/1/2002
4.8%,,1668,Below Threshold,$238,Above 3%,50,Moderate,Uganda,,,,$0,$6B,7.5%,$18,,0.081,0%,0.191,50,50,2%,1,0.494,0.48,0.026,25.9M,12.3%,Africa,$0B,,12/1/2002
4.5%,,1969,Below Threshold,$349,Above 3%,44,Friendly,Zambia,,,6633,$0,$4B,6.7%,$24,,0.091,1%,0.452,44,43,1%,1,0.461,0.511,0.027,10.6M,35.4%,Africa,$0B,$0B,12/1/2002
3.2%,,11932,Below Threshold,$502,Above 3%,43,Low,Zimbabwe,,,9692,$0,$6B,,,,0.059,4%,0.365,43,43,3%,1,0.417,0.548,0.035,12.6M,34.6%,Africa,$0B,,12/1/2002
4.8%,,359,Below Threshold,$186,Above 3%,56,Low,Afghanistan,,,,$0,$4B,8.9%,$14,,0.091,0%,,57,55,0%,1,0.495,0.485,0.02,22.2M,21.9%,Asia,,,12/1/2002
1.3%,,3044,Below Threshold,$780,Below 1.5%,73,Very Friendly,Armenia,,,1876,$0,$2B,5.4%,$42,,0.024,2%,0.211,76,69,2%,1,0.241,0.651,0.108,3.0M,64.3%,Asia,$0B,$0B,12/1/2002
1.4%,,29615,Below Threshold,$763,Below 1.5%,68,Friendly,Azerbaijan,,,11559,$0,$6B,4.5%,$34,,0.053,5%,0.174,70,65,10%,1,0.291,0.649,0.06,8.2M,51.8%,Asia,$0B,$0B,12/1/2002
2.6%,,33707,Below Threshold,$347,1.5-3%,67,Moderate,Bangladesh,,,20756,$0,$48B,3.1%,$11,,0.059,0%,0.16,67,66,1%,1,0.359,0.6,0.041,137.0M,24.8%,Asia,$0B,$0B,12/1/2002
2.6%,,418,Below Threshold,$897,1.5-3%,62,Low,Bhutan,,,,$0,$1B,7.9%,$71,,0.053,2%,0.153,62,62,,1,0.38,0.581,0.039,0.6M,27.6%,Asia,$0B,,12/1/2002
2.2%,,5321,Below Threshold,"$16,868",1.5-3%,77,Friendly,Brunei,,,2157,"$14,064",$6B,3.1%,$526,,0.008,15%,0.055,78,75,44%,1,0.298,0.673,0.029,0.3M,72.1%,Asia,$0B,$0B,12/1/2002
2.7%,,2208,Below Threshold,$337,1.5-3%,64,Moderate,Cambodia,,,3994,$0,$4B,6.4%,$22,,0.069,0%,,67,61,3%,1,0.388,0.572,0.04,12.7M,18.8%,Asia,$1B,$0B,12/1/2002
1.3%,,3694242,Below Threshold,"$1,132",Below 1.5%,73,Friendly,China,,,1253831,$0,"$1,450B",4.8%,$54,,0.026,5%,0.053,74,72,16%,1,0.236,0.692,0.072,"1,280.4M",38.4%,Asia,$22B,$17B,12/1/2002
1.2%,,3388,Below Threshold,$779,Below 1.5%,73,Very Friendly,Georgia,,,2544,$0,$3B,8.7%,$64,,0.028,2%,0.236,76,69,11%,1,0.205,0.661,0.134,4.4M,52.3%,Asia,$0B,$0B,12/1/2002
0.7%,,36952,Below Threshold,"$24,614",Below 1.5%,82,Very Friendly,Hong Kong SAR,,,13195,"$23,440",$166B,,,,,43%,0.05,85,79,93%,1,0.161,0.724,0.115,6.7M,100.0%,Asia,$10B,$12B,12/1/2002
2.5%,,1226791,Below Threshold,$487,1.5-3%,63,Moderate,India,,,477540,$0,$524B,4.4%,$21,,0.062,2%,0.119,64,62,1%,1,0.334,0.621,0.045,"1,076.7M",28.2%,Asia,$3B,$4B,12/1/2002
2.1%,,306737,Below Threshold,$911,1.5-3%,68,Moderate,Indonesia,,,164879,$0,$196B,2.2%,$20,,0.038,2%,0.189,70,66,5%,1,0.302,0.651,0.048,215.0M,43.6%,Asia,$6B,$5B,12/1/2002
0.9%,,1216751,Below Threshold,"$31,229",Below 1.5%,82,Very Friendly,Japan,,,510390,"$28,128","$3,980B",7.9%,"$2,455",,0.003,47%,0.019,85,78,64%,1,0.142,0.675,0.182,127.4M,81.6%,Asia,$6B,$35B,12/1/2002
1.5%,,151946,Below Threshold,"$1,658",1.5-3%,67,Friendly,Kazakhstan,,,39679,$0,$25B,3.6%,$61,,0.034,2%,,72,61,7%,1,0.263,0.665,0.071,14.9M,55.3%,Asia,$1B,$1B,12/1/2002
1.7%,,76109,Below Threshold,,1.5-3%,67,Not Clustered,North Korea,,,19566,,,,,,0.034,,,70,63,,1,0.256,0.68,0.065,23.2M,59.6%,Asia,,,12/1/2002
1.0%,,465632,Below Threshold,"$12,788",Below 1.5%,77,Very Friendly,South Korea,,,198667,"$9,376",$609B,4.8%,$581,,0.006,59%,0.068,80,73,70%,1,0.203,0.716,0.081,47.6M,80.3%,Asia,$8B,$11B,12/1/2002
1.9%,,4848,Below Threshold,$322,1.5-3%,68,Friendly,Kyrgyzstan,,,2422,$0,$2B,5.4%,$17,,0.039,3%,0.248,72,64,1%,1,0.335,0.609,0.056,5.0M,35.3%,Asia,$0B,$0B,12/1/2002
2.9%,,1177,Below Threshold,$317,1.5-3%,63,Low,Laos,,,,$0,$2B,4.0%,$13,,0.078,0%,0.293,64,62,1%,1,0.425,0.539,0.037,5.5M,24.0%,Asia,$0B,$0B,12/1/2002
0.8%,,1525,Below Threshold,"$15,779",Below 1.5%,78,Not Clustered,Macao SAR,,,,"$14,064",$7B,,,,,25%,0.061,80,76,62%,1,0.208,0.718,0.074,0.4M,100.0%,Asia,$4B,$1B,12/1/2002
2.1%,,135129,Below Threshold,"$4,137",1.5-3%,73,Very Friendly,Malaysia,,,51009,$0,$101B,3.3%,$138,,0.008,32%,0.065,75,71,37%,1,0.321,0.639,0.04,24.4M,63.9%,Asia,$8B,$3B,12/1/2002
2.2%,,689,Below Threshold,"$2,929",1.5-3%,72,Friendly,Maldives,,,,$0,$1B,5.2%,$152,,0.028,5%,0.135,73,70,15%,1,0.385,0.574,0.041,0.3M,30.0%,Asia,$0B,$0B,12/1/2002
1.9%,,8287,Below Threshold,$572,1.5-3%,64,Friendly,Mongolia,,,2586,$0,$1B,4.8%,$28,,0.044,2%,0.355,67,61,9%,1,0.323,0.64,0.037,2.4M,59.3%,Asia,$0B,$0B,12/1/2002
2.0%,,9208,Below Threshold,,1.5-3%,63,Low,Myanmar,,,12968,,,2.4%,$3,,0.056,0%,0.15,65,61,0%,1,0.296,0.656,0.048,49.3M,27.7%,Asia,$0B,$0B,12/1/2002
3.1%,,2710,Below Threshold,$251,Above 3%,63,Moderate,Nepal,,,8467,$0,$6B,5.6%,$14,,0.054,0%,0.068,64,62,0%,1,0.401,0.559,0.04,24.1M,14.3%,Asia,$0B,$0B,12/1/2002
2.9%,,114084,Below Threshold,$483,1.5-3%,65,Moderate,Pakistan,,,65775,$0,$72B,3.0%,$15,,0.085,3%,,65,64,1%,1,0.402,0.558,0.04,149.7M,33.8%,Asia,$1B,$0B,12/1/2002
2.9%,,71338,Below Threshold,"$1,005",1.5-3%,67,Moderate,Philippines,,,38767,$0,$81B,2.8%,$28,,0.029,4%,0.091,70,64,19%,1,0.38,0.587,0.033,81.0M,47.4%,Asia,$2B,$2B,12/1/2002
1.1%,,47231,Below Threshold,"$22,017",Below 1.5%,79,Very Friendly,Singapore,,,21005,"$18,752",$92B,2.9%,$632,,0.003,47%,0.053,81,77,80%,1,0.206,0.717,0.077,4.2M,100.0%,Asia,$4B,$8B,12/1/2002
1.9%,,11008,Below Threshold,$904,1.5-3%,73,Friendly,Sri Lanka,,,8199,$0,$17B,3.9%,$34,,0.013,1%,0.132,76,69,5%,1,0.261,0.673,0.065,18.9M,18.4%,Asia,$1B,$0B,12/1/2002
2.9%,,1881,Below Threshold,$191,1.5-3%,65,Moderate,Tajikistan,,,2129,$0,$1B,4.5%,$9,,0.066,0%,0.147,68,61,0%,1,0.412,0.552,0.036,6.4M,26.4%,Asia,$0B,$0B,12/1/2002
1.4%,,215975,Below Threshold,"$1,991",Below 1.5%,72,Very Friendly,Thailand,,,82257,$0,$127B,3.7%,$74,,0.018,8%,0.069,75,68,27%,1,0.234,0.696,0.07,63.8M,33.8%,Asia,$10B,$4B,12/1/2002
4.0%,,161,Below Threshold,$474,Above 3%,62,Low,Timor-Leste,,,,$0,$0B,6.1%,$19,,0.076,,,63,60,,1,0.497,0.478,0.025,0.9M,25.0%,Asia,,,12/1/2002
2.3%,,40245,Below Threshold,$970,1.5-3%,64,Not Clustered,Turkmenistan,,,15811,$0,$4B,3.3%,$63,,0.063,0%,,68,60,0%,1,0.349,0.607,0.044,4.6M,46.4%,Asia,,,12/1/2002
2.1%,,126915,Below Threshold,$383,1.5-3%,67,Low,Uzbekistan,,,53188,$0,$10B,5.4%,$21,,0.05,1%,,70,64,1%,1,0.357,0.598,0.045,25.3M,37.1%,Asia,$0B,,12/1/2002
1.7%,,70806,Below Threshold,$477,1.5-3%,74,Friendly,Vietnam,,,33441,$0,$38B,5.1%,$22,,0.026,2%,0.091,79,69,2%,1,0.298,0.637,0.065,79.5M,25.5%,Asia,,,12/1/2002
1.7%,,3751,Below Threshold,"$1,458",1.5-3%,75,Friendly,Albania,,,1975,$0,$4B,6.5%,$89,,0.021,0%,0.153,78,72,26%,1,0.29,0.636,0.075,3.1M,43.5%,Europe,$0B,$0B,12/1/2002
1.1%,,532,Below Threshold,"$20,327",Below 1.5%,,Not Clustered,Andorra,,,,"$18,752",$1B,5.8%,"$1,486",,0.004,11%,,,,46%,1,,,,0.1M,91.6%,Europe,,,12/1/2002
1.0%,,67179,Below Threshold,"$25,736",Below 1.5%,79,Very Friendly,Austria,,,30447,"$23,440",$208B,10.1%,"$2,599",,0.004,37%,,82,76,83%,1,0.167,0.677,0.156,8.1M,65.8%,Europe,$12B,$8B,12/1/2002
0.9%,,52390,Below Threshold,"$1,479",Below 1.5%,68,Friendly,Belarus,,,25262,$0,$15B,6.5%,$96,,0.009,9%,0.369,74,62,5%,1,0.172,0.687,0.14,9.9M,70.9%,Europe,$0B,$1B,12/1/2002
1.1%,,107531,Below Threshold,"$24,485",Below 1.5%,78,Very Friendly,Belgium,,,56375,"$23,440",$253B,8.5%,"$2,075",,0.004,46%,0.077,81,75,78%,1,0.174,0.655,0.171,10.3M,97.2%,Europe,$8B,$11B,12/1/2002
0.9%,,22919,Below Threshold,"$1,707",Below 1.5%,75,Moderate,Bosnia and Herzegovina,,,4407,$0,$7B,7.1%,$122,,0.007,3%,0.127,77,73,19%,1,0.197,0.686,0.117,3.9M,39.3%,Europe,$0B,$0B,12/1/2002
0.9%,,44635,Below Threshold,"$2,031",Below 1.5%,72,Friendly,Bulgaria,,,18861,$0,$16B,7.6%,$154,,0.016,9%,0.092,75,69,33%,1,0.148,0.683,0.17,7.9M,69.5%,Europe,$1B,$1B,12/1/2002
0.9%,,21877,Below Threshold,"$5,974",Below 1.5%,75,Friendly,Croatia,,,8245,"$4,688",$27B,6.3%,$375,,0.007,18%,0.128,78,71,52%,1,0.167,0.671,0.163,4.4M,55.9%,Europe,$4B,$1B,12/1/2002
1.3%,,7022,Below Threshold,"$10,774",Below 1.5%,78,Very Friendly,Cyprus,,,2143,"$9,376",$11B,6.1%,$882,,0.005,28%,0.072,80,76,43%,1,0.214,0.682,0.104,1.0M,68.7%,Europe,$2B,$1B,12/1/2002
0.9%,,120193,Below Threshold,"$7,691",Below 1.5%,76,Friendly,Czech Republic,,,42535,"$4,688",$78B,6.8%,$522,,0.005,24%,0.067,79,72,84%,1,0.157,0.704,0.139,10.2M,73.8%,Europe,$3B,$2B,12/1/2002
1.2%,,49266,Below Threshold,"$32,366",Below 1.5%,77,Very Friendly,Denmark,,,19004,"$28,128",$174B,9.3%,"$3,023",,0.004,64%,0.071,79,75,83%,1,0.187,0.664,0.149,5.4M,85.3%,Europe,$5B,$6B,12/1/2002
1.0%,,14936,Below Threshold,"$5,310",Below 1.5%,71,Very Friendly,Estonia,,,4713,"$4,688",$7B,4.8%,$256,,0.008,42%,0.067,77,65,65%,1,0.167,0.674,0.159,1.4M,69.1%,Europe,$1B,$0B,12/1/2002
,,763,Below Threshold,"$26,564",Above 3%,80,Not Clustered,Faeroe Islands,,,,"$23,440",$1B,,,,,53%,,82,77,73%,1,,,,0.0M,38.0%,Europe,,,12/1/2002
1.1%,,61078,Below Threshold,"$25,959",Below 1.5%,79,Very Friendly,Finland,,,34819,"$23,440",$135B,7.8%,"$2,032",,0.003,62%,0.048,82,75,87%,1,0.178,0.669,0.153,5.2M,82.5%,Europe,$2B,$2B,12/1/2002
1.3%,,380840,Below Threshold,"$23,462",Below 1.5%,80,Very Friendly,France,,,261182,"$23,440","$1,450B",10.6%,"$2,497",,0.004,30%,0.066,83,76,64%,1,0.187,0.651,0.162,61.8M,76.4%,Europe,$41B,$28B,12/1/2002
0.9%,,828771,Below Threshold,"$24,367",Below 1.5%,78,Very Friendly,Germany,,,338553,"$23,440","$2,010B",10.7%,"$2,610",,0.004,49%,0.097,81,75,71%,1,0.151,0.676,0.173,82.5M,73.2%,Europe,$27B,$59B,12/1/2002
0.9%,,93670,Below Threshold,"$13,292",Below 1.5%,79,Friendly,Greece,,,28321,"$9,376",$146B,9.1%,"$1,223",,0.006,15%,0.074,81,76,85%,1,0.148,0.676,0.176,11.0M,73.3%,Europe,$10B,$2B,12/1/2002
1.0%,,56094,Below Threshold,"$6,535",Below 1.5%,73,Friendly,Hungary,,,25601,"$4,688",$66B,7.6%,$495,,0.009,17%,0.102,77,68,68%,1,0.163,0.683,0.154,10.2M,65.1%,Europe,$4B,$2B,12/1/2002
1.4%,,2171,Below Threshold,"$30,979",Below 1.5%,81,Very Friendly,Iceland,,,3285,"$28,128",$9B,10.2%,"$3,156",,0.003,79%,0.154,83,79,91%,1,0.228,0.656,0.117,0.3M,92.7%,Europe,$0B,$0B,12/1/2002
1.5%,,43762,Below Threshold,"$31,282",1.5-3%,78,Very Friendly,Ireland,,,14673,"$28,128",$123B,7.0%,"$2,221",,0.005,26%,0.038,80,75,76%,1,0.211,0.678,0.111,3.9M,59.6%,Europe,$4B,$4B,12/1/2002
1.1%,,,Below Threshold,"$24,223",Below 1.5%,79,Not Clustered,Isle of Man,,,,"$23,440",$2B,,,,,,,82,75,,1,,,,0.1M,51.9%,Europe,,,12/1/2002
0.9%,,452632,Below Threshold,"$21,557",Below 1.5%,80,Friendly,Italy,,,172396,"$18,752","$1,230B",8.2%,"$1,761",,0.004,28%,0.065,83,77,94%,1,0.142,0.669,0.189,57.1M,67.4%,Europe,$28B,$20B,12/1/2002
2.1%,,,Below Threshold,"$1,588",1.5-3%,68,Friendly,Kosovo,,,1894,$0,$3B,,,,,,,70,66,,1,,,,1.7M,,Europe,,,12/1/2002
0.9%,,6652,Below Threshold,"$4,032",Below 1.5%,71,Very Friendly,Latvia,,,4073,$0,$9B,6.3%,$248,,0.013,22%,0.08,77,65,40%,1,0.165,0.677,0.158,2.3M,67.9%,Europe,$0B,$0B,12/1/2002
1.2%,,,Below Threshold,"$79,496",Below 1.5%,80,Not Clustered,Liechtenstein,,,,"$75,008",$3B,,,,,60%,,82,77,34%,1,,,,0.0M,14.9%,Europe,,,12/1/2002
0.9%,,13212,Below Threshold,"$4,114",Below 1.5%,72,Very Friendly,Lithuania,,,8865,$0,$14B,6.4%,$263,,0.009,18%,0.068,78,66,48%,1,0.187,0.669,0.144,3.4M,66.8%,Europe,$1B,$0B,12/1/2002
1.2%,,9417,Below Threshold,"$50,583",Below 1.5%,79,Friendly,Luxembourg,,,3646,"$46,880",$23B,8.3%,"$4,202",,0.003,40%,,82,75,107%,1,0.189,0.668,0.143,0.4M,85.3%,Europe,$3B,$2B,12/1/2002
1.2%,,10935,Below Threshold,"$1,828",Below 1.5%,74,Very Friendly,North Macedonia,,,2527,$0,$4B,9.3%,$170,,0.013,17%,0.184,76,71,18%,1,0.213,0.681,0.106,2.1M,58.1%,Europe,$0B,$0B,12/1/2002
1.0%,,2299,Below Threshold,"$10,850",Below 1.5%,79,Friendly,Malta,,,734,"$9,376",$4B,7.9%,$839,,0.006,29%,0.06,81,76,67%,1,0.193,0.69,0.117,0.4M,92.9%,Europe,$1B,$0B,12/1/2002
1.2%,,3986,Below Threshold,$459,Below 1.5%,67,Friendly,Moldova,,,3096,$0,$2B,8.1%,$37,,0.023,4%,0.235,71,63,9%,1,0.219,0.676,0.105,3.6M,45.6%,Europe,$0B,$0B,12/1/2002
,,,Below Threshold,"$88,996",Above 3%,,Not Clustered,Monaco,,,,"$84,384",$3B,3.4%,"$2,985",,0.004,48%,,,,46%,1,,,,0.0M,100.0%,Europe,,,12/1/2002
1.3%,,,Below Threshold,"$2,098",Below 1.5%,74,Very Friendly,Montenegro,,,,$0,$1B,8.6%,$180,,0.011,,,77,71,,1,0.207,0.671,0.121,0.6M,60.6%,Europe,,,12/1/2002
1.3%,,172364,Below Threshold,"$27,123",Below 1.5%,79,Very Friendly,Netherlands,,,75706,"$23,440",$438B,8.9%,"$2,411",,0.005,61%,0.04,81,76,75%,1,0.186,0.677,0.137,16.1M,79.1%,Europe,$12B,$14B,12/1/2002
1.2%,,37429,Below Threshold,"$42,308",Below 1.5%,80,Very Friendly,Norway,,,24912,"$42,192",$192B,10.4%,"$4,418",,0.004,73%,0.087,82,77,84%,1,0.2,0.651,0.149,4.5M,77.0%,Europe,$3B,$6B,12/1/2002
0.9%,,296932,Below Threshold,"$5,179",Below 1.5%,75,Very Friendly,Poland,,,88855,"$4,688",$198B,6.3%,$328,,0.007,21%,0.12,79,70,36%,1,0.18,0.692,0.127,38.2M,61.8%,Europe,$5B,$3B,12/1/2002
1.1%,,66820,Below Threshold,"$12,668",Below 1.5%,78,Very Friendly,Portugal,,,25824,"$9,376",$132B,9.3%,"$1,190",,0.005,19%,,81,74,83%,1,0.159,0.675,0.166,10.4M,55.7%,Europe,$7B,$3B,12/1/2002
1.0%,,92174,Below Threshold,"$2,116",Below 1.5%,71,Friendly,Romania,,,38140,$0,$46B,4.6%,$97,,0.022,7%,0.354,75,67,23%,1,0.174,0.686,0.14,21.7M,52.8%,Europe,$0B,$0B,12/1/2002
1.0%,,1557665,Below Threshold,"$2,373",Below 1.5%,66,Moderate,Russia,,,623098,$0,$345B,6.0%,$142,,0.018,4%,0.157,72,59,12%,1,0.168,0.702,0.13,145.4M,73.3%,Europe,$5B,$11B,12/1/2002
,,,Below Threshold,"$31,355",Above 3%,82,Friendly,San Marino,,,,"$28,128",$1B,6.5%,"$2,894",,0.004,51%,0.08,85,78,60%,1,,,,0.0M,93.9%,Europe,,,12/1/2002
1.0%,,,Below Threshold,"$2,014",Below 1.5%,73,Friendly,Serbia,,,15891,$0,$15B,8.9%,$179,,0.01,,0.197,75,70,,1,0.193,0.672,0.135,7.5M,53.7%,Europe,$0B,$0B,12/1/2002
1.0%,,39252,Below Threshold,"$6,442",Below 1.5%,74,Very Friendly,Slovakia,,,18733,"$4,688",$35B,5.6%,$256,,0.009,40%,0.103,78,70,54%,1,0.185,0.7,0.115,5.4M,56.0%,Europe,$1B,$1B,12/1/2002
0.9%,,15420,Below Threshold,"$11,600",Below 1.5%,76,Very Friendly,Slovenia,,,6830,"$9,376",$23B,8.6%,"$1,000",,0.004,28%,0.132,80,72,84%,1,0.151,0.702,0.147,2.0M,50.8%,Europe,$1B,$1B,12/1/2002
1.0%,,314519,Below Threshold,"$16,557",Below 1.5%,80,Very Friendly,Spain,,,128757,"$14,064",$686B,7.3%,"$1,215",,0.005,20%,0.043,83,76,81%,1,0.145,0.686,0.169,41.4M,76.5%,Europe,$35B,$9B,12/1/2002
1.1%,,57425,Below Threshold,"$28,123",Below 1.5%,80,Very Friendly,Sweden,,,51784,"$23,440",$251B,9.2%,"$2,599",,0.003,71%,0.056,82,78,89%,1,0.181,0.647,0.172,8.9M,84.1%,Europe,$6B,$8B,12/1/2002
1.0%,,40718,Below Threshold,"$39,397",Below 1.5%,81,Very Friendly,Switzerland,,,25888,"$37,504",$287B,10.6%,"$4,190",,0.005,61%,0.039,83,78,79%,1,0.171,0.675,0.155,7.3M,73.4%,Europe,$9B,$7B,12/1/2002
2.1%,,205678,Below Threshold,"$3,583",1.5-3%,72,Friendly,Turkey,,,74248,$0,$233B,5.4%,$180,,0.03,11%,,75,68,36%,1,0.297,0.64,0.063,65.0M,66.0%,Europe,$12B,$2B,12/1/2002
0.9%,,318684,Below Threshold,$879,Below 1.5%,69,Moderate,Ukraine,,,135601,$0,$42B,6.3%,$55,,0.014,2%,0.253,74,63,8%,1,0.162,0.692,0.145,48.2M,67.3%,Europe,$1B,$1B,12/1/2002
1.1%,,531939,Below Threshold,"$27,286",Below 1.5%,79,Very Friendly,United Kingdom,,,218306,"$23,440","$1,620B",7.6%,"$2,065",,0.005,57%,0.04,81,76,83%,1,0.186,0.656,0.158,59.4M,79.0%,Europe,$28B,$51B,12/1/2002
2.0%,,15698,Below Threshold,"$13,149",1.5-3%,75,Very Friendly,Bahrain,,,6433,"$9,376",$10B,3.9%,$510,,0.01,18%,0.084,76,74,53%,1,0.301,0.675,0.024,0.7M,88.4%,Middle East,$1B,$1B,12/1/2002
1.8%,,402178,Below Threshold,"$1,713",1.5-3%,71,Low,Iran,,,138011,$0,$116B,5.1%,$102,,0.026,5%,,72,69,3%,1,0.308,0.647,0.045,67.7M,65.5%,Middle East,$2B,$4B,12/1/2002
3.5%,,87260,Below Threshold,,Above 3%,71,Low,Iraq,,,27981,,,1.4%,$9,,0.035,1%,,73,68,0%,1,0.424,0.541,0.035,25.2M,68.6%,Middle East,$0B,$0B,12/1/2002
2.1%,,63146,Below Threshold,"$17,199",1.5-3%,80,Very Friendly,Israel,,,18809,"$14,064",$113B,7.8%,"$1,334",,0.005,18%,0.099,82,78,101%,1,0.28,0.62,0.1,6.6M,91.3%,Middle East,$2B,$3B,12/1/2002
3.1%,,16887,Below Threshold,"$1,902",Above 3%,73,Moderate,Jordan,,,5060,$0,$10B,9.7%,$189,,0.022,6%,0.102,74,71,25%,1,0.39,0.579,0.031,5.0M,80.4%,Middle East,$1B,$1B,12/1/2002
2.2%,,52753,Below Threshold,"$18,620",1.5-3%,74,Moderate,Kuwait,,,20639,"$14,064",$38B,3.6%,$661,,0.011,10%,0.065,74,73,60%,1,0.256,0.71,0.034,2.0M,98.1%,Middle East,$0B,$3B,12/1/2002
